"startday","sleep_prob","hourtime"
4,0.44973544973545,"0900-0930"
4,0.788359788359788,"0930-1000"
4,0.704081632653061,"1000-1030"
4,0.714285714285714,"1030-1100"
4,0.793650793650794,"1100-1130"
4,0.724489795918367,"1130-1200"
4,0.560846560846561,"1200-1230"
4,0.587301587301587,"1230-1300"
4,0.777777777777778,"1300-1330"
4,0.525510204081633,"1330-1400"
4,0.253968253968254,"1400-1430"
4,0.417989417989418,"1430-1500"
4,0.653061224489796,"1500-1530"
4,0.783068783068783,"1530-1600"
4,0.465608465608466,"1600-1630"
4,0.343915343915344,"1630-1700"
4,0.658163265306122,"1700-1730"
4,0.857142857142857,"1730-1800"
4,0.804232804232804,"1800-1830"
4,0.627551020408163,"1830-1900"
4,0.423280423280423,"1900-1930"
4,0.492063492063492,"1930-2000"
4,0.529100529100529,"2000-2030"
4,0.454081632653061,"2030-2100"
4,0.793650793650794,"2100-2130"
4,1,"2130-2200"
4,1,"2200-2230"
4,1,"2230-2300"
4,1,"2300-2330"
4,0.892857142857143,"2330-0000"
5,0.48469387755102,"0000-0030"
5,0.164021164021164,"0030-0100"
5,0.624338624338624,"0100-0130"
5,0.801020408163265,"0130-0200"
5,0.846560846560847,"0200-0230"
5,0.968253968253968,"0230-0300"
5,0.780612244897959,"0300-0330"
5,0.650793650793651,"0330-0400"
5,0.80952380952381,"0400-0430"
5,0.751322751322751,"0430-0500"
5,0.714285714285714,"0500-0530"
5,0.714285714285714,"0530-0600"
5,0.724867724867725,"0600-0630"
5,0.693877551020408,"0630-0700"
5,0.71957671957672,"0700-0730"
5,0.465608465608466,"0730-0800"
5,0.470899470899471,"0800-0830"
5,0.413265306122449,"0830-0900"
5,0.44973544973545,"0900-0930"
5,0.788359788359788,"0930-1000"
5,0.586734693877551,"1000-1030"
5,0.571428571428571,"1030-1100"
5,0.650793650793651,"1100-1130"
5,0.693877551020408,"1130-1200"
5,0.703703703703704,"1200-1230"
5,0.613756613756614,"1230-1300"
5,0.71957671957672,"1300-1330"
5,0.561224489795918,"1330-1400"
5,0.375661375661376,"1400-1430"
5,0.417989417989418,"1430-1500"
5,0.581632653061224,"1500-1530"
5,0.64021164021164,"1530-1600"
5,0.455026455026455,"1600-1630"
5,0.259259259259259,"1630-1700"
5,0.551020408163265,"1700-1730"
5,0.857142857142857,"1730-1800"
5,0.804232804232804,"1800-1830"
5,0.642857142857143,"1830-1900"
5,0.566137566137566,"1900-1930"
5,0.492063492063492,"1930-2000"
5,0.53968253968254,"2000-2030"
5,0.479591836734694,"2030-2100"
5,0.714285714285714,"2100-2130"
5,0.936507936507937,"2130-2200"
5,1,"2200-2230"
5,1,"2230-2300"
5,1,"2300-2330"
5,0.98469387755102,"2330-0000"
6,0.627551020408163,"0000-0030"
6,0.28042328042328,"0030-0100"
6,0.529100529100529,"0100-0130"
6,0.658163265306122,"0130-0200"
6,0.703703703703704,"0200-0230"
6,0.899470899470899,"0230-0300"
6,0.923469387755102,"0300-0330"
6,0.671957671957672,"0330-0400"
6,0.80952380952381,"0400-0430"
6,0.751322751322751,"0430-0500"
6,0.714285714285714,"0500-0530"
6,0.714285714285714,"0530-0600"
6,0.724867724867725,"0600-0630"
6,0.760204081632653,"0630-0700"
6,0.64021164021164,"0700-0730"
6,0.349206349206349,"0730-0800"
6,0.365079365079365,"0800-0830"
6,0.413265306122449,"0830-0900"
6,0.555555555555556,"0900-0930"
6,0.708994708994709,"0930-1000"
6,0.469387755102041,"1000-1030"
6,0.571428571428571,"1030-1100"
6,0.650793650793651,"1100-1130"
6,0.591836734693878,"1130-1200"
6,0.624338624338624,"1200-1230"
6,0.619047619047619,"1230-1300"
6,0.798941798941799,"1300-1330"
6,0.61734693877551,"1330-1400"
6,0.375661375661376,"1400-1430"
6,0.502645502645503,"1430-1500"
6,0.704081632653061,"1500-1530"
6,0.497354497354497,"1530-1600"
6,0.312169312169312,"1600-1630"
6,0.253968253968254,"1630-1700"
6,0.530612244897959,"1700-1730"
6,0.814814814814815,"1730-1800"
6,0.804232804232804,"1800-1830"
6,0.642857142857143,"1830-1900"
6,0.566137566137566,"1900-1930"
6,0.492063492063492,"1930-2000"
6,0.571428571428571,"2000-2030"
6,0.51530612244898,"2030-2100"
6,0.571428571428571,"2100-2130"
6,0.793650793650794,"2130-2200"
6,0.857142857142857,"2200-2230"
6,0.862433862433862,"2230-2300"
6,1,"2300-2330"
6,0.98469387755102,"2330-0000"
7,0.678571428571429,"0000-0030"
7,0.423280423280423,"0030-0100"
7,0.62962962962963,"0100-0130"
7,0.535714285714286,"0130-0200"
7,0.703703703703704,"0200-0230"
7,0.899470899470899,"0230-0300"
7,0.923469387755102,"0300-0330"
7,0.671957671957672,"0330-0400"
7,0.883597883597884,"0400-0430"
7,0.80952380952381,"0430-0500"
7,0.586734693877551,"0500-0530"
7,0.714285714285714,"0530-0600"
7,0.724867724867725,"0600-0630"
7,0.760204081632653,"0630-0700"
7,0.64021164021164,"0700-0730"
7,0.470899470899471,"0730-0800"
7,0.365079365079365,"0800-0830"
7,0.413265306122449,"0830-0900"
7,0.55026455026455,"0900-0930"
7,0.566137566137566,"0930-1000"
7,0.326530612244898,"1000-1030"
7,0.428571428571429,"1030-1100"
7,0.507936507936508,"1100-1130"
7,0.489795918367347,"1130-1200"
7,0.624338624338624,"1200-1230"
7,0.529100529100529,"1230-1300"
7,0.777777777777778,"1300-1330"
7,0.61734693877551,"1330-1400"
7,0.470899470899471,"1400-1430"
7,0.619047619047619,"1430-1500"
7,0.704081632653061,"1500-1530"
7,0.497354497354497,"1530-1600"
7,0.312169312169312,"1600-1630"
7,0.35978835978836,"1630-1700"
7,0.530612244897959,"1700-1730"
7,0.883597883597884,"1730-1800"
7,0.947089947089947,"1800-1830"
7,0.709183673469388,"1830-1900"
7,0.566137566137566,"1900-1930"
7,0.492063492063492,"1930-2000"
7,0.53968253968254,"2000-2030"
7,0.469387755102041,"2030-2100"
7,0.566137566137566,"2100-2130"
7,0.671957671957672,"2130-2200"
7,0.857142857142857,"2200-2230"
7,0.862433862433862,"2230-2300"
7,1,"2300-2330"
7,0.98469387755102,"2330-0000"
8,0.688775510204082,"0000-0030"
8,0.55026455026455,"0030-0100"
8,0.62962962962963,"0100-0130"
8,0.581632653061224,"0130-0200"
8,0.682539682539683,"0200-0230"
8,0.777777777777778,"0230-0300"
8,0.923469387755102,"0300-0330"
8,0.756613756613757,"0330-0400"
